trial_id,timestamp,stimulus_type,stimulus_text,true_emotion_label,circuit_vector,reported_emotion,emotion_intensity,importance_score,memory_classification,response_latency_ms,correct_prediction
0,2025-10-04T19:20:15.395963,memory_recall,Trial_0000_memory_recall,neutral,"[""L34.N1095"", ""L44.N1638"", ""L42.N1238"", ""L34.N1482"", ""L47.N3444"", ""L27.N2919"", ""L47.N130"", ""L45.N3380"", ""L25.N2391"", ""L35.N3485"", ""L29.N2433"", ""L44.N1184"", ""L35.N3385"", ""L45.N2300"", ""L35.N2904"", ""L40.N474"", ""L33.N2047"", ""L39.N1806"", ""L38.N3005""]",neutral,0.5782,0.4592,short_term,243.05,True
1,2025-10-04T19:30:15.396552,memory_recall,Trial_0001_memory_recall,joy,"[""L27.N1585"", ""L31.N3459"", ""L25.N1021"", ""L29.N2613"", ""L33.N3843""]",joy,0.1105,0.2867,short_term,110.87,True
2,2025-10-04T19:40:15.396699,task_completion,Trial_0002_task_completion,neutral,"[""L36.N3112"", ""L38.N3884"", ""L24.N3928"", ""L30.N2568"", ""L47.N1152"", ""L35.N2695"", ""L47.N3134"", ""L34.N1522"", ""L40.N391"", ""L26.N418"", ""L24.N378"", ""L28.N3561"", ""L30.N3065"", ""L32.N3099"", ""L30.N200"", ""L31.N779""]",neutral,0.274,0.3373,short_term,293.15,True
3,2025-10-04T19:50:15.396934,memory_recall,Trial_0003_memory_recall,sadness,"[""L32.N206"", ""L38.N1881"", ""L33.N2939"", ""L36.N3762"", ""L30.N3312"", ""L43.N1020"", ""L27.N1757"", ""L28.N3478"", ""L30.N2796"", ""L38.N3242"", ""L27.N2572"", ""L30.N1722"", ""L42.N3157"", ""L25.N2729"", ""L36.N1597""]",sadness,0.5571,0.5672,short_term,207.72,True
4,2025-10-04T20:00:15.397160,learning_discovery,Trial_0004_learning_discovery,anger,"[""L30.N709"", ""L31.N1434"", ""L32.N317"", ""L28.N3296"", ""L42.N1257"", ""L35.N663"", ""L38.N3898""]",anger,0.5202,0.3868,short_term,175.99,True
5,2025-10-04T20:10:15.397301,user_interaction,Trial_0005_user_interaction,sadness,"[""L42.N1661"", ""L25.N1076"", ""L35.N2777"", ""L29.N1439"", ""L46.N835""]",sadness,0.2065,0.1926,long_term,201.4,True
6,2025-10-04T20:20:15.397427,error_event,Trial_0006_error_event,joy,"[""L26.N659"", ""L27.N2450"", ""L26.N1534"", ""L42.N3219"", ""L30.N1843"", ""L32.N2976"", ""L31.N1663"", ""L30.N2385"", ""L31.N640"", ""L34.N4059"", ""L41.N2198"", ""L33.N1634"", ""L30.N1787"", ""L39.N2393"", ""L39.N1016"", ""L43.N3643"", ""L40.N2049""]",neutral,0.0507,0.1356,short_term,283.31,False
7,2025-10-04T20:30:15.397680,user_interaction,Trial_0007_user_interaction,sadness,"[""L41.N3777"", ""L45.N3234"", ""L39.N956"", ""L32.N4067"", ""L24.N1603"", ""L24.N397"", ""L44.N815"", ""L43.N1527"", ""L31.N1158"", ""L26.N400"", ""L24.N2735"", ""L35.N954"", ""L42.N469"", ""L46.N1045"", ""L37.N1693"", ""L29.N2277"", ""L36.N562"", ""L45.N1799""]",sadness,0.0631,0.2135,short_term,398.85,True
8,2025-10-04T20:40:15.397922,conversation,Trial_0008_conversation,neutral,"[""L37.N3444"", ""L29.N2146"", ""L32.N1060"", ""L47.N3420"", ""L40.N301"", ""L44.N606"", ""L26.N699"", ""L24.N1139"", ""L44.N2975"", ""L46.N1184"", ""L26.N127"", ""L41.N1816"", ""L33.N1758"", ""L45.N569"", ""L26.N1895"", ""L37.N3863"", ""L41.N3359"", ""L38.N2901""]",neutral,0.2209,0.3285,short_term,339.81,True
9,2025-10-04T20:50:15.398173,learning_discovery,Trial_0009_learning_discovery,fear,"[""L27.N684"", ""L43.N2368"", ""L31.N2559"", ""L37.N399"", ""L37.N971"", ""L42.N2518"", ""L38.N1115"", ""L25.N833"", ""L46.N1982"", ""L45.N50"", ""L45.N2361"", ""L45.N2352"", ""L43.N681""]",fear,0.0795,0.1385,short_term,272.66,True
